INFO buildroot.py:348:  Mock Version: 1.4.8
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/dev/pts
DEBUG util.py:113:  creating dir: /home/stig/rpmbuild/mock/6/x86_64/dev/pts
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/dev/shm
DEBUG util.py:113:  creating dir: /home/stig/rpmbuild/mock/6/x86_64/dev/shm
DEBUG buildroot.py:479:  kernel version == 4.14.14-server-4.mga7
DEBUG util.py:123:  touching file: /home/stig/rpmbuild/mock/6/x86_64/etc/fstab
DEBUG util.py:123:  touching file: /home/stig/rpmbuild/mock/6/x86_64/etc/yum/yum.conf
DEBUG util.py:123:  touching file: /home/stig/rpmbuild/mock/6/x86_64/etc/dnf/dnf.conf
DEBUG util.py:123:  touching file: /home/stig/rpmbuild/mock/6/x86_64/var/log/yum.log
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/var/cache/dnf/
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '--bind', '/var/cache/mock/mageia-6-x86_64/dnf_cache/', '/home/stig/rpmbuild/mock/6/x86_64/var/cache/dnf/'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG buildroot.py:142:  rootdir = /home/stig/rpmbuild/mock/6/x86_64
DEBUG buildroot.py:143:  resultdir = mock
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/etc/pki/mock
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/etc/dnf
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', 'dc5c7d4f4faa42038859e7538d01d3e3', '-D', '/home/stig/rpmbuild/mock/6/x86_64', '-a', '--setenv=TERM=vt100', '--setenv=SHELL=/bin/bash', '--setenv=HOME=/builddir', '--setenv=HOSTNAME=mock', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=en_US.UTF-8', '/usr/sbin/userdel', '-r', '-f', 'mockbuild'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:317:  Unsharing. Flags: 134217728
DEBUG util.py:479:  userdel: mockbuild mail spool (/var/spool/mail/mockbuild) not found
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', '8c973f564b684c1d8107d32a1485fdc3', '-D', '/home/stig/rpmbuild/mock/6/x86_64', '-a', '--setenv=TERM=vt100', '--setenv=SHELL=/bin/bash', '--setenv=HOME=/builddir', '--setenv=HOSTNAME=mock', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=en_US.UTF-8', '/usr/sbin/groupdel', 'mock'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:317:  Unsharing. Flags: 134217728
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', '74ed5a7b07214500aab3ef8eb330c711', '-D', '/home/stig/rpmbuild/mock/6/x86_64', '-a', '--setenv=TERM=vt100', '--setenv=SHELL=/bin/bash', '--setenv=HOME=/builddir', '--setenv=HOSTNAME=mock', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=en_US.UTF-8', '/usr/sbin/groupadd', '-g', '135', 'mock'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:317:  Unsharing. Flags: 134217728
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', 'a33358b0fb524db78fcbc1e6fe2f0558', '-D', '/home/stig/rpmbuild/mock/6/x86_64', '-a', '--setenv=TERM=vt100', '--setenv=SHELL=/bin/bash', '--setenv=HOME=/builddir', '--setenv=HOSTNAME=mock', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=en_US.UTF-8', '/usr/sbin/useradd', '-o', '-m', '-u', '1000', '-g', '135', '-d', '/builddir', 'mockbuild'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:317:  Unsharing. Flags: 134217728
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/RPMS
DEBUG util.py:113:  creating dir: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/RPMS
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/SPECS
DEBUG util.py:113:  creating dir: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/SPECS
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/SRPMS
DEBUG util.py:113:  creating dir: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/SRPMS
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/SOURCES
DEBUG util.py:113:  creating dir: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/SOURCES
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/BUILD
DEBUG util.py:113:  creating dir: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/BUILD
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/BUILDROOT
DEBUG util.py:113:  creating dir: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/BUILDROOT
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/originals
DEBUG util.py:113:  creating dir: /home/stig/rpmbuild/mock/6/x86_64/builddir/build/originals
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/proc
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '-t', 'proc', 'proc', '/home/stig/rpmbuild/mock/6/x86_64/proc'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/sys
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '-t', 'sysfs', 'sysfs', '/home/stig/rpmbuild/mock/6/x86_64/sys'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/dev/shm
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', 'tmpfs', '/home/stig/rpmbuild/mock/6/x86_64/dev/shm'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:110:  ensuring that dir exists: /home/stig/rpmbuild/mock/6/x86_64/dev/pts
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/bin/mount', '-n', '-t', 'devpts', '-o', 'gid=5,mode=0620,ptmxmode=0666,newinstance', 'devpts', '/home/stig/rpmbuild/mock/6/x86_64/dev/pts'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'en_US.UTF-8'} and shell False
DEBUG util.py:617:  Child return code was: 0
DEBUG package_manager.py:111:  ['/usr/bin/dnf', '--installroot', '/home/stig/rpmbuild/mock/6/x86_64/', '-y', '--releasever', '6', '--disableplugin=local', '--setopt=deltarpm=False', 'update']
DEBUG util.py:636:  child environment: None
DEBUG util.py:562:  Executing command: ['/usr/bin/dnf', '--installroot', '/home/stig/rpmbuild/mock/6/x86_64/', '-y', '--releasever', '6', '--disableplugin=local', '--setopt=deltarpm=False', 'update'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'en_US.UTF-8', 'LC_MESSAGES': 'C'} and shell False
DEBUG util.py:479:  Last metadata expiration check: 0:00:00 ago on Wed 24 Jan 2018 06:27:42 PM CET.
DEBUG util.py:479:  Dependencies resolved.
DEBUG util.py:479:  Nothing to do.
DEBUG util.py:479:  Complete!
DEBUG util.py:617:  Child return code was: 0
DEBUG util.py:636:  child environment: None
